street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop,Note
22 Park Avenue, Rosslyn Park,5072,$450 per week,450,NA,NA,1800,1008,727,0.42,
64 Davenport Terrace, Seacliff Park,5049,$420 per week,420,NA,NA,1680,940.8,794.2,0.46,
18 Ocean Boulevard, Seacliff Park,5049,$420 p.w.,420,NA,NA,1680,940.8,794.2,0.46,
4 Ophir Crescent, Seacliff Park,5049,$420 per week,420,NA,NA,1680,940.8,794.2,0.46,
35 Russell Avenue, Seacombe Gardens,5047,$325 per week,325,NA,NA,1300,728,1007,0.58,
67 Ramsay Avenue, Seacombe Gardens,5047,$410.00 Per Week,410,NA,NA,1640,918.4,816.6,0.47,
3 Windemere Street, Seacombe Gardens,5047,$325 per week,325,NA,NA,1300,728,1007,0.58,
15B Marinoff Street, Seaton,5023,$450 per week,450,SA,1,1800,1008,727,0.42,
4/1 Seaton Terrace, Seaton,5023,$440 per week,440,SA,1,1760,985.6,749.4,0.43,
1/212 Trimmer Parade, Seaton,5023,$430 per week,430,SA,1,1720,963.2,771.8,0.44,
38 Todville Street, Seaton,5023,$420 PW,420,SA,1,1680,940.8,794.2,0.46,
9 Rositano avenue, Seaton,5023,$420 per week,420,SA,1,1680,940.8,794.2,0.46,
1/23 Seaton Terrace, Seaton,5023,$415 per week,415,SA,1,1660,929.6,805.4,0.46,
7 Findon Avenue, Seaton,5023,$410 per week,410,SA,1,1640,918.4,816.6,0.47,
32 Airdrie Avenue, Seaton,5023,$380 per week,380,SA,1,1520,851.2,883.8,0.51,
6 Mcewan Avenue, Seaton,5023,$375 per week,375,SA,1,1500,840,895,0.52,
16/166 Trimmer Parade, Seaton,5023,$370 per week,370,SA,1,1480,828.8,906.2,0.52,
43 Brenthorpe Road, Seaton,5023,$350 per week,350,SA,1,1400,784,951,0.55,
10 Fourth Avenue, Seaton,5023,$350 wk,350,SA,1,1400,784,951,0.55,
25 Alfred Avenue, Seaton,5023,$350 wk,350,SA,1,1400,784,951,0.55,
30 Risely Ave, Seaton,5023,$330 wk,330,SA,1,1320,739.2,995.8,0.57,
5 Irwin Street, Seaview Downs,5049,$450pw,450,NA,NA,1800,1008,727,0.42,
12 Harrow Road, Somerton Park,5044,SHORT TERM LEASE ONLY,NA,NA,NA,NA,NA,NA,NA,
99 Harding Street, Somerton Park,5044,$350 per week,350,NA,NA,1400,784,951,0.55,
7/55 Tarlton Street, Somerton Park,5044,$420 Per Week,420,NA,NA,1680,940.8,794.2,0.46,
12 Benny Crescent, South Brighton,5048,$380 per week,380,SA,1,1520,851.2,883.8,0.51,P- public transport
9 Eucalypt Parade, St Agnes,5097,$330 per week,330,SA,0.83,1320,739.2,995.8,0.57,
31 Third Ave, St Morris,5068,$420 per week,420,NA,NA,1680,940.8,794.2,0.46,
223A Payneham Road, St Peters,5069,$450 Per Week,450,SA,0,1800,1008,727,0.42,
26 Wheaton Road, Stepney,5069,$400,400,SA,0,1600,896,839,0.48,
21 Callitris Avenue, Surrey Downs,5126,$360 per week,360,NA,NA,1440,806.4,928.6,0.54,
6/412 Yatala Vale Road, Surrey Downs,5126,$340pw,340,NA,NA,1360,761.6,973.4,0.56,
10 Joycelyn Avenue, Surrey Downs,5126,$350,350,NA,NA,1400,784,951,0.55,
23 Parkview Drive, Tea Tree Gully,5091,$430 Per Week,430,SA,1,1720,963.2,771.8,0.44,
14c Holland Street, Thebarton,5031,$350 per week,350,NA,NA,1400,784,951,0.55,
8  Torrens Street, Torrensville,5031,$370 per week,370,NA,NA,1480,828.8,906.2,0.52,
29 Hinton Street, Underdale,5032,$445 per week,445,SA,0,1780,996.8,738.2,0.43,
4/4  Howard Street, Underdale,5032,$395 per week,395,SA,0,1580,884.8,850.2,0.49,
7 Pearse Street, Underdale,5032,$450 per week,450,SA,0,1800,1008,727,0.42,
12/25 Frederick Street, Unley,5061,$420 per week,420,SA,1,1680,940.8,794.2,0.46,P - good but townhouse
Unit 2/131 Greenhill Road, Unley,5061,$410 per week,410,SA,1,1640,918.4,816.6,0.47,
4 Orkney Lane, Vista,5091,415-450pw range,415,SA,1,1660,929.6,805.4,0.46,
143 Perseverance Rd, Vista,5091,$330 per week,330,SA,1,1320,739.2,995.8,0.57,
11 Cairns Avenue, Warradale,5046,$380,380,NA,NA,1520,851.2,883.8,0.51,
1/192 Diagonal Road, Warradale,5046,$360 Per Week,360,NA,NA,1440,806.4,928.6,0.54,
17 Ailsa Avenue, Warradale,5046,$450 Per Week,450,NA,NA,1800,1008,727,0.42,
10 Ulva Avenue, Warradale,5046,$440 Per Week,440,NA,NA,1760,985.6,749.4,0.43,
56 Railway Terrace, Warradale,5046,$340 per week,340,NA,NA,1360,761.6,973.4,0.56,
