street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop
13 Linton St, Banksia Park,5091,$350 per week,350,SA,1,1400,784.0000000000001,950.9999999999999,0.55
44 Cooinda Avenue, Redwood Park,5097,$365,365,SA,0.83,1460,817.6,917.4,0.53
73 Luhrs Road, Payneham South,5070,$370 per week,370,SA,0.83,1480,828.8000000000001,906.1999999999999,0.52
3/1045 Northeast Road, Ridgehaven,5097,$370 per week,370,SA,0.83,1480,828.8000000000001,906.1999999999999,0.52
5 Irwin Street, Seaview Downs,5049,$450pw,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
95 Warren Road, Modbury North,5092,$375 per week,375,SA,1,1500,840.0000000000001,894.9999999999999,0.52
10 Fourth Avenue, Seaton,5023,$350 wk,350,SA,1,1400,784.0000000000001,950.9999999999999,0.55
3 Windemere Street, Seacombe Gardens,5047,$325 per week,325,NA,NA,1300,728.0000000000001,1006.9999999999999,0.58
429 Grenfell Road, Banksia Park,5091,$315.00,315,SA,1,1260,705.6,1029.4,0.59
43 Hardy Avenue, Glengowrie,5044,$450 per week,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
386 Grange Road, Kidman Park,5025,$380 per week,380,SA,0,1520,851.2,883.8,0.51
4 Henley St, Mile End,5031,$360-$380,360,NA,NA,1440,806.4000000000001,928.5999999999999,0.54
15B Marinoff Street, Seaton,5023,$450 per week,450,SA,1,1800,1008.0000000000001,726.9999999999999,0.42
11/190 Morphett Road, Glengowrie,5044,$350-$370,350,NA,NA,1400,784.0000000000001,950.9999999999999,0.55
7A Albany Crescent, Oaklands Park,5046,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
4 Ophir Crescent, Seacliff Park,5049,$420 per week,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
1/9 Burwash Avenue, Marryatville,5068,$420.00 per week,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
10 Eva Road, Redwood Park,5097,$350.00 Per Week,350,SA,0.83,1400,784.0000000000001,950.9999999999999,0.55
3 Noya Avenue, Modbury Heights,5092,$365 per week,365,SA,1,1460,817.6,917.4,0.53
31 Swan Street, Grange,5022,NA,NA,NA,NA,NA,NA,NA,NA
4/26 Regent Street, Parkside,5063,$410 per week,410,SA,1,1640,918.4000000000001,816.5999999999999,0.47
25 Alfred Avenue, Seaton,5023,$350 wk,350,SA,1,1400,784.0000000000001,950.9999999999999,0.55
30 Risely Ave, Seaton,5023,$330 wk,330,SA,1,1320,739.2,995.8,0.57
8  Torrens Street, Torrensville,5031,$370 per week,370,NA,NA,1480,828.8000000000001,906.1999999999999,0.52
4 Lochhead Court, Wynn Vale,5127,NA,NA,SA,1,NA,NA,NA,NA
13 Charles Veale Drive, West Beach,5024,$360 p.w.,360,NA,NA,1440,806.4000000000001,928.5999999999999,0.54
20 Cumberland Avenue, Modbury Heights,5092,$330 pw,330,SA,1,1320,739.2,995.8,0.57
10 Egret Ct, Wynn Vale,5127,$380,380,SA,1,1520,851.2,883.8,0.51
1/23 Seaton Terrace, Seaton,5023,$415 per week,415,SA,1,1660,929.6000000000001,805.3999999999999,0.46
4/4  Howard Street, Underdale,5032,$395 per week,395,SA,0,1580,884.8000000000001,850.1999999999999,0.49
4 Orkney Lane, Vista,5091,415-450pw range,415,SA,1,1660,929.6000000000001,805.3999999999999,0.46
27 Lane Street, Richmond,5033,$370 Per Week,370,NA,NA,1480,828.8000000000001,906.1999999999999,0.52
16/166 Trimmer Parade, Seaton,5023,$370 per week,370,SA,1,1480,828.8000000000001,906.1999999999999,0.52
22 Park Avenue, Rosslyn Park,5072,$450 per week,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
Unit 2/131 Greenhill Road, Unley,5061,$410 per week,410,SA,1,1640,918.4000000000001,816.5999999999999,0.47
15 Hillcott Ave, Wynn Vale,5127,340,340,SA,1,1360,761.6,973.4,0.56
6 Foster Street, Forestville,5035,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
6 Schwab Rd, Woodside,5244,Negotiable,NA,NA,NA,NA,NA,NA,NA
23 Burt Avenue, Hilton,5033,$435 per week,435,NA,NA,1740,974.4000000000001,760.5999999999999,0.44
8 Jean Street, Oaklands Park,5046,$390 per week,390,NA,NA,1560,873.6000000000001,861.3999999999999,0.5
11 Elston Street, Brooklyn Park,5032,$375 per week,375,SA,0,1500,840.0000000000001,894.9999999999999,0.52
28 Fuller Street, Parkside,5063,$415 per week,415,SA,1,1660,929.6000000000001,805.3999999999999,0.46
4/1 Seaton Terrace, Seaton,5023,$440 per week,440,SA,1,1760,985.6000000000001,749.3999999999999,0.43
7 Findon Avenue, Seaton,5023,$410 per week,410,SA,1,1640,918.4000000000001,816.5999999999999,0.47
321 Brighton Road, North Brighton,5048,$420.00 per week,420,SA,1,1680,940.8000000000001,794.1999999999999,0.46
1  Motley Avenue, Fulham Gardens,5024,$450 per week,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
9 Chardonnay Cres, Wynn Vale,5127,$360 per week,360,SA,1,1440,806.4000000000001,928.5999999999999,0.54
14 Murray Street, North Adelaide,5006,$410 per week,410,SA,0,1640,918.4000000000001,816.5999999999999,0.47
9 Eurilpa Ave, Everard Park,5035,$450 per week,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
8/47 Elizabeth, Norwood,5067,$410 per week,410,NA,NA,1640,918.4000000000001,816.5999999999999,0.47
143 Perseverance Rd, Vista,5091,$330 per week,330,SA,1,1320,739.2,995.8,0.57
20a McNamara Street, Modbury Heights,5092,$310 per week,310,SA,1,1240,694.4000000000001,1040.6,0.6
8/20 Seaview Road, West Beach,5024,$350 per week,350,NA,NA,1400,784.0000000000001,950.9999999999999,0.55
